X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
21,49127,2020-01-16,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
26,49127,2020-01-17,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
31,49127,2020-01-17,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
36,49127,2020-01-18,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
40,49127,2020-01-18,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
48,49127,2020-01-19,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
56,49127,2020-01-20,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
65,49127,2020-01-21,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
73,49127,2020-01-22,16:00:00,-64.66026,-54.8736,393467.0249,3918011.543,73.5817611382097,1,16
80,49127,2020-01-23,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
88,49127,2020-01-24,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
95,49127,2020-01-25,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
99,49127,2020-01-26,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
102,49127,2020-01-26,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
106,49127,2020-01-27,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
110,49127,2020-01-27,16:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1,7
125,49127,2020-01-29,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
129,49127,2020-01-30,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
136,49127,2020-01-31,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
144,49127,2020-02-01,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1,7
151,49127,2020-02-02,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154,71.7511793980362,1,16
159,49127,2020-02-03,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154,71.7511793980362,1,16
166,49127,2020-02-04,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1,16
173,49127,2020-02-05,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1,16
182,49127,2020-02-06,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1,16
188,49127,2020-02-07,16:00:00,-64.65387,-54.87467,393879.8214,3917902.194,44.1215317099679,1,34
