"","from","to","ind","date","colonia"
"1","7","7","A","2020-01-16",1
"2","7","16","A","2020-01-21",1
"3","16","7","A","2020-01-22",1
"4","16","16","A","2020-02-02",1
"5","16","34","A","2020-02-06",1
"6","34","16","A","2020-02-07",1
"7","7","44","A","2020-02-10",1
"8","44","7","A","2020-02-10",1
"9","7","49","A","2020-02-15",1
"10","49","7","A","2020-02-15",1
"11","7","38","A","2020-02-17",1
"12","38","7","A","2020-02-17",1
"13","7","23","A","2020-02-18",1
"14","23","37","A","2020-02-18",1
"15","37","4","A","2020-02-19",1
"16","4","57","A","2020-02-21",1
"17","57","58","A","2020-02-22",0
"18","58","23","A","2020-02-23",1
"19","23","7","A","2020-02-24",1
"20","7","63","A","2020-02-25",1
"21","63","7","A","2020-02-25",1
"22","7","32","A","2020-02-26",1
"23","32","67","A","2020-02-26",1
"24","67","3","A","2020-02-28",1
"25","3","23","A","2020-02-29",1
"26","23","23","A","2020-03-01",1
"27","23","1","A","2020-03-01",1
"28","1","23","A","2020-03-02",1
"29","23","32","A","2020-03-02",1
"30","32","38","A","2020-03-03",1
"31","38","38","A","2020-03-03",1
"32","38","23","A","2020-03-04",1
"33","23","25","A","2020-03-05",1
"34","25","23","A","2020-03-05",1
"35","23","78","A","2020-03-06",1
"36","78","38","A","2020-03-07",1
"37","38","81","A","2020-03-08",1
"38","81","23","A","2020-03-09",0
"39","25","32","A","2020-03-10",1
"40","38","14","A","2020-03-11",1
"41","14","37","A","2020-03-12",1
"42","37","16","A","2020-03-12",1
"43","16","23","A","2020-03-13",1
"44","23","10","A","2020-03-13",1
"45","10","23","A","2020-03-14",1
"46","38","32","A","2020-03-15",1
"47","32","32","A","2020-03-16",1
"48","32","89","A","2020-03-19",1
"49","89","90","A","2020-03-19",0
"50","90","25","A","2020-03-20",0
"51","25","25","A","2020-03-21",1
"52","25","31","A","2020-03-22",1
"53","31","38","A","2020-03-22",1
"54","38","46","A","2020-03-23",1
"55","46","3","A","2020-03-24",1
"56","3","55","A","2020-03-25",1
"57","55","2","A","2020-03-27",1
"58","2","18","A","2020-03-28",1
"59","18","32","A","2020-03-28",1
"60","32","43","A","2020-03-29",1
"61","43","100","A","2020-03-29",1
"62","100","32","A","2020-03-30",0
"63","32","103","A","2020-04-01",1
"64","103","107","A","2020-04-01",0
"65","107","113","A","2020-04-02",0
"66","113","104","A","2020-04-03",0
"67","104","116","A","2020-04-04",0
"68","116","120","A","2020-04-04",0
"69","120","104","A","2020-04-05",0
"70","104","122","A","2020-04-06",0
"71","122","104","A","2020-04-06",0
"72","104","104","A","2020-04-07",0
"73","104","113","A","2020-04-08",0
"74","113","137","A","2020-04-09",0
"75","137","113","A","2020-04-10",0
"76","113","122","A","2020-04-13",0
"77","104","120","A","2020-04-16",0
"78","120","113","A","2020-04-16",0
"79","113","120","A","2020-04-17",0
"80","113","141","A","2020-04-20",0
"81","141","103","A","2020-04-20",0
"82","103","153","A","2020-04-21",0
"83","153","128","A","2020-04-21",0
"84","128","103","A","2020-04-22",0
"85","103","103","A","2020-04-23",0
"86","103","141","A","2020-04-25",0
"87","141","113","A","2020-04-25",0
"88","122","113","A","2020-04-26",0
"89","104","157","A","2020-04-30",0
"90","157","113","A","2020-04-30",0
"91","120","153","A","2020-05-02",0
"92","153","104","A","2020-05-02",0
"93","104","153","A","2020-05-03",0
"94","153","116","A","2020-05-03",0
"95","116","122","A","2020-05-04",0
"96","153","120","A","2020-05-07",0
"97","120","159","A","2020-05-08",0
"98","159","104","A","2020-05-08",0
"99","2","2","B","2020-01-14",1
"100","2","8","B","2020-01-17",1
"101","8","2","B","2020-01-17",1
"102","2","9","B","2020-01-18",1
"103","9","8","B","2020-01-18",1
"104","8","10","B","2020-01-19",1
"105","10","2","B","2020-01-19",1
"106","2","13","B","2020-01-20",1
"107","13","2","B","2020-01-20",1
"108","2","18","B","2020-01-28",1
"109","18","2","B","2020-01-28",1
"110","2","10","B","2020-01-29",1
"111","10","21","B","2020-01-29",1
"112","21","10","B","2020-01-30",1
"113","10","10","B","2020-01-31",1
"114","21","21","B","2020-02-02",1
"115","21","28","B","2020-02-03",1
"116","28","29","B","2020-02-04",1
"117","29","28","B","2020-02-04",1
"118","28","28","B","2020-02-05",1
"119","28","11","B","2020-02-05",1
"120","11","28","B","2020-02-06",1
"121","28","10","B","2020-02-06",1
"122","10","32","B","2020-02-09",1
"123","32","10","B","2020-02-09",1
"124","10","8","B","2020-02-10",1
"125","10","4","B","2020-02-11",1
"126","4","10","B","2020-02-12",1
"127","4","26","B","2020-02-13",1
"128","26","28","B","2020-02-14",1
"129","28","6","B","2020-02-14",1
"130","6","14","B","2020-02-16",1
"131","14","14","B","2020-02-16",1
"132","14","28","B","2020-02-17",1
"133","28","26","B","2020-02-17",1
"134","28","32","B","2020-02-19",1
"135","32","21","B","2020-02-19",1
"136","28","19","B","2020-02-21",1
"137","19","28","B","2020-02-22",1
"138","10","6","B","2020-02-23",1
"139","6","62","B","2020-02-24",1
"140","62","8","B","2020-02-24",0
"141","10","26","B","2020-02-25",1
"142","26","21","B","2020-02-26",1
"143","28","66","B","2020-02-28",1
"144","66","28","B","2020-02-28",0
"145","28","48","B","2020-02-29",1
"146","48","14","B","2020-02-29",1
"147","28","8","B","2020-03-01",1
"148","8","18","B","2020-03-02",1
"149","18","10","B","2020-03-02",1
"150","10","74","B","2020-03-04",1
"151","74","6","B","2020-03-04",0
"152","6","63","B","2020-03-05",1
"153","63","10","B","2020-03-05",1
"154","10","23","B","2020-03-06",1
"155","23","10","B","2020-03-06",1
"156","10","18","B","2020-03-07",1
"157","10","80","B","2020-03-08",1
"158","80","10","B","2020-03-09",1
"159","10","82","B","2020-03-10",1
"160","82","2","B","2020-03-10",1
"161","2","16","B","2020-03-11",1
"162","16","2","B","2020-03-11",1
"163","2","83","B","2020-03-12",1
"164","83","2","B","2020-03-12",1
"165","2","11","B","2020-03-13",1
"166","11","10","B","2020-03-13",1
"167","10","83","B","2020-03-17",1
"168","83","28","B","2020-03-17",1
"169","28","13","B","2020-03-18",1
"170","13","21","B","2020-03-19",1
"171","10","92","B","2020-03-23",1
"172","92","10","B","2020-03-23",1
"173","23","2","B","2020-03-25",1
"174","18","99","B","2020-03-29",1
"175","99","2","B","2020-03-29",0
"176","2","48","B","2020-03-30",1
"177","48","2","B","2020-03-30",1
"178","2","21","B","2020-04-02",1
"179","21","112","B","2020-04-02",1
"180","112","28","B","2020-04-03",0
"181","28","4","B","2020-04-04",1
"182","2","33","B","2020-04-07",1
"183","33","128","B","2020-04-07",1
"184","128","131","B","2020-04-08",0
"185","131","131","B","2020-04-09",0
"186","131","138","B","2020-04-10",0
"187","138","138","B","2020-04-10",0
"188","138","141","B","2020-04-11",0
"189","141","145","B","2020-04-11",0
"190","145","148","B","2020-04-12",0
"191","148","150","B","2020-04-13",0
"192","150","151","B","2020-04-15",0
"193","151","114","B","2020-04-15",0
"194","114","120","B","2020-04-16",0
"195","120","120","B","2020-04-16",0
"196","120","122","B","2020-04-17",0
"197","122","114","B","2020-04-17",0
"198","114","152","B","2020-04-18",0
"199","152","85","B","2020-04-18",0
"200","85","131","B","2020-04-19",0
"201","131","152","B","2020-04-20",0
"202","152","154","B","2020-04-21",0
"203","154","49","B","2020-04-21",0
"204","49","46","B","2020-04-22",1
"205","46","49","B","2020-04-23",1
"206","46","120","B","2020-04-24",1
"207","120","152","B","2020-04-25",0
"208","152","155","B","2020-04-26",0
"209","155","110","B","2020-04-26",0
"210","110","156","B","2020-04-27",0
"211","156","153","B","2020-04-27",0
"212","153","155","B","2020-04-28",0
"213","155","105","B","2020-04-28",0
"214","105","153","B","2020-04-29",0
"215","153","120","B","2020-04-29",0
"216","120","103","B","2020-04-30",0
"217","103","103","B","2020-05-01",0
"218","103","113","B","2020-05-02",0
"219","113","153","B","2020-05-03",0
"220","153","113","B","2020-05-03",0
"221","153","153","B","2020-05-04",0
"222","153","158","B","2020-05-05",0
"223","158","104","B","2020-05-05",0
"224","104","153","B","2020-05-06",0
"225","153","104","B","2020-05-06",0
"226","104","113","B","2020-05-09",0
"227","113","116","B","2020-05-10",0
"228","116","116","B","2020-05-10",0
"229","116","120","B","2020-05-12",0
"230","120","160","B","2020-05-17",0
"231","160","120","B","2020-05-17",0
"232","120","161","B","2020-05-19",0
"233","161","122","B","2020-05-19",0
"234","122","141","B","2020-05-20",0
"235","141","105","B","2020-05-20",0
"236","105","120","B","2020-05-21",0
"237","120","162","B","2020-05-21",0
"238","162","120","B","2020-05-22",0
"239","120","163","B","2020-05-23",0
"240","163","120","B","2020-05-23",0
"241","1","1","C","2020-01-14",1
"242","1","5","C","2020-01-15",1
"243","5","5","C","2020-01-15",1
"244","5","17","C","2020-01-23",1
"245","17","5","C","2020-01-23",1
"246","5","20","C","2020-01-29",1
"247","20","22","C","2020-01-30",1
"248","22","22","C","2020-01-31",1
"249","22","23","C","2020-02-01",1
"250","23","22","C","2020-02-01",1
"251","22","25","C","2020-02-02",1
"252","25","18","C","2020-02-02",1
"253","18","25","C","2020-02-03",1
"254","25","26","C","2020-02-03",1
"255","26","6","C","2020-02-04",1
"256","6","31","C","2020-02-05",1
"257","31","33","C","2020-02-06",1
"258","33","35","C","2020-02-06",1
"259","35","38","C","2020-02-07",0
"260","38","23","C","2020-02-08",1
"261","23","42","C","2020-02-09",1
"262","42","45","C","2020-02-09",0
"263","45","11","C","2020-02-10",1
"264","11","38","C","2020-02-11",1
"265","38","37","C","2020-02-11",1
"266","37","5","C","2020-02-12",1
"267","5","6","C","2020-02-13",1
"268","6","4","C","2020-02-13",1
"269","4","11","C","2020-02-14",1
"270","11","11","C","2020-02-15",1
"271","11","31","C","2020-02-16",1
"272","31","32","C","2020-02-17",1
"273","32","32","C","2020-02-17",1
"274","32","51","C","2020-02-18",1
"275","51","32","C","2020-02-18",0
"276","32","1","C","2020-02-19",1
"277","1","6","C","2020-02-21",1
"278","6","32","C","2020-02-22",1
"279","32","61","C","2020-02-22",1
"280","61","11","C","2020-02-23",0
"281","31","64","C","2020-02-25",1
"282","64","20","C","2020-02-26",1
"283","20","32","C","2020-02-27",1
"284","32","25","C","2020-02-27",1
"285","25","25","C","2020-02-28",1
"286","25","22","C","2020-02-28",1
"287","22","70","C","2020-02-29",1
"288","70","71","C","2020-02-29",0
"289","71","31","C","2020-03-01",0
"290","31","73","C","2020-03-02",1
"291","73","23","C","2020-03-03",0
"292","23","23","C","2020-03-04",1
"293","23","32","C","2020-03-05",1
"294","25","23","C","2020-03-07",1
"295","23","31","C","2020-03-08",1
"296","31","31","C","2020-03-08",1
"297","31","57","C","2020-03-09",1
"298","57","31","C","2020-03-09",0
"299","31","81","C","2020-03-10",1
"300","81","32","C","2020-03-10",0
"301","32","81","C","2020-03-11",1
"302","81","46","C","2020-03-11",0
"303","46","32","C","2020-03-12",1
"304","32","85","C","2020-03-13",1
"305","85","87","C","2020-03-14",0
"306","87","32","C","2020-03-15",0
"307","25","20","C","2020-03-19",1
"308","20","91","C","2020-03-20",1
"309","91","31","C","2020-03-22",0
"310","32","34","C","2020-03-24",1
"311","34","32","C","2020-03-24",1
"312","32","58","C","2020-03-25",1
"313","58","32","C","2020-03-25",1
"314","32","96","C","2020-03-27",1
"315","96","20","C","2020-03-28",1
"316","20","25","C","2020-03-29",1
"317","25","96","C","2020-03-30",1
"318","96","19","C","2020-03-30",1
"319","19","96","C","2020-03-31",1
"320","96","106","C","2020-04-01",1
"321","106","32","C","2020-04-02",0
"322","32","114","C","2020-04-03",1
"323","114","117","C","2020-04-03",0
"324","117","118","C","2020-04-04",0
"325","118","80","C","2020-04-04",0
"326","80","97","C","2020-04-05",1
"327","97","32","C","2020-04-05",0
