"","from","to","ind","date"
"1","10","89","A","2020-03-19"
"2","89","90","A","2020-03-19"
"3","90","10","A","2020-03-20"
"4","10","100","A","2020-03-29"
"5","100","10","A","2020-03-30"
"6","10","103","A","2020-04-01"
"7","103","107","A","2020-04-01"
"8","107","113","A","2020-04-02"
"9","113","104","A","2020-04-03"
"10","104","116","A","2020-04-04"
"11","116","120","A","2020-04-04"
"12","120","104","A","2020-04-05"
"13","104","122","A","2020-04-06"
"14","122","104","A","2020-04-06"
"15","104","104","A","2020-04-07"
"16","104","113","A","2020-04-08"
"17","113","137","A","2020-04-09"
"18","137","113","A","2020-04-10"
"19","113","122","A","2020-04-13"
"20","104","120","A","2020-04-16"
"21","120","113","A","2020-04-16"
"22","113","120","A","2020-04-17"
"23","113","141","A","2020-04-20"
"24","141","103","A","2020-04-20"
"25","103","153","A","2020-04-21"
"26","153","128","A","2020-04-21"
"27","128","103","A","2020-04-22"
"28","103","103","A","2020-04-23"
"29","103","141","A","2020-04-25"
"30","141","113","A","2020-04-25"
"31","122","113","A","2020-04-26"
"32","104","157","A","2020-04-30"
"33","157","113","A","2020-04-30"
"34","120","153","A","2020-05-02"
"35","153","104","A","2020-05-02"
"36","104","153","A","2020-05-03"
"37","153","116","A","2020-05-03"
"38","116","122","A","2020-05-04"
"39","153","120","A","2020-05-07"
"40","120","159","A","2020-05-08"
"41","159","104","A","2020-05-08"
"42","10","99","B","2020-03-29"
"43","99","10","B","2020-03-29"
"44","10","112","B","2020-04-02"
"45","112","10","B","2020-04-03"
"46","10","128","B","2020-04-07"
"47","128","131","B","2020-04-08"
"48","131","131","B","2020-04-09"
"49","131","138","B","2020-04-10"
"50","138","138","B","2020-04-10"
"51","138","141","B","2020-04-11"
"52","141","145","B","2020-04-11"
"53","145","148","B","2020-04-12"
"54","148","150","B","2020-04-13"
"55","150","151","B","2020-04-15"
"56","151","114","B","2020-04-15"
"57","114","120","B","2020-04-16"
"58","120","120","B","2020-04-16"
"59","120","122","B","2020-04-17"
"60","122","114","B","2020-04-17"
"61","114","152","B","2020-04-18"
"62","152","85","B","2020-04-18"
"63","85","131","B","2020-04-19"
"64","131","152","B","2020-04-20"
"65","152","154","B","2020-04-21"
"66","154","10","B","2020-04-21"
"67","10","120","B","2020-04-24"
"68","120","152","B","2020-04-25"
"69","152","155","B","2020-04-26"
"70","155","110","B","2020-04-26"
"71","110","156","B","2020-04-27"
"72","156","153","B","2020-04-27"
"73","153","155","B","2020-04-28"
"74","155","105","B","2020-04-28"
"75","105","153","B","2020-04-29"
"76","153","120","B","2020-04-29"
"77","120","103","B","2020-04-30"
"78","103","103","B","2020-05-01"
"79","103","113","B","2020-05-02"
"80","113","153","B","2020-05-03"
"81","153","113","B","2020-05-03"
"82","153","153","B","2020-05-04"
"83","153","158","B","2020-05-05"
"84","158","104","B","2020-05-05"
"85","104","153","B","2020-05-06"
"86","153","104","B","2020-05-06"
"87","104","113","B","2020-05-09"
"88","113","116","B","2020-05-10"
"89","116","116","B","2020-05-10"
"90","116","120","B","2020-05-12"
"91","120","160","B","2020-05-17"
"92","160","120","B","2020-05-17"
"93","120","161","B","2020-05-19"
"94","161","122","B","2020-05-19"
"95","122","141","B","2020-05-20"
"96","141","105","B","2020-05-20"
"97","105","120","B","2020-05-21"
"98","120","162","B","2020-05-21"
"99","162","120","B","2020-05-22"
"100","120","163","B","2020-05-23"
"101","163","120","B","2020-05-23"
"102","10","85","C","2020-03-13"
"103","85","87","C","2020-03-14"
"104","87","10","C","2020-03-15"
"105","10","91","C","2020-03-20"
"106","91","10","C","2020-03-22"
"107","10","106","C","2020-04-01"
"108","106","10","C","2020-04-02"
"109","10","114","C","2020-04-03"
"110","114","117","C","2020-04-03"
"111","117","118","C","2020-04-04"
"112","118","10","C","2020-04-04"
"113","10","97","C","2020-04-05"
"114","97","10","C","2020-04-05"
"115","10","129","C","2020-04-07"
"116","129","134","C","2020-04-08"
"117","134","136","C","2020-04-09"
"118","136","139","C","2020-04-10"
"119","139","139","C","2020-04-10"
"120","139","142","C","2020-04-11"
"121","142","146","C","2020-04-11"
"122","146","149","C","2020-04-12"
"123","149","149","C","2020-04-13"
"124","10","86","D","2020-03-14"
