"","from","to","ind","date"
"1","10","10","A","2020-01-16"
"2","10","57","A","2020-02-21"
"3","57","10","A","2020-02-22"
"4","10","81","A","2020-03-08"
"5","81","10","A","2020-03-09"
"6","10","10","B","2020-01-14"
"7","10","62","B","2020-02-24"
"8","62","10","B","2020-02-24"
"9","10","66","B","2020-02-28"
"10","66","10","B","2020-02-28"
"11","10","74","B","2020-03-04"
"12","74","10","B","2020-03-04"
"13","10","10","C","2020-01-14"
"14","10","35","C","2020-02-06"
"15","35","10","C","2020-02-07"
"16","10","42","C","2020-02-09"
"17","42","10","C","2020-02-09"
"18","10","51","C","2020-02-18"
"19","51","10","C","2020-02-18"
"20","10","61","C","2020-02-22"
"21","61","10","C","2020-02-23"
"22","10","70","C","2020-02-29"
"23","70","71","C","2020-02-29"
"24","71","10","C","2020-03-01"
"25","10","73","C","2020-03-02"
"26","73","10","C","2020-03-03"
"27","10","57","C","2020-03-09"
"28","57","10","C","2020-03-09"
"29","10","81","C","2020-03-10"
"30","81","10","C","2020-03-10"
"31","10","10","D","2020-01-14"
"32","10","35","D","2020-02-07"
"33","35","10","D","2020-02-07"
"34","10","39","D","2020-02-08"
"35","39","10","D","2020-02-08"
"36","10","52","D","2020-02-18"
"37","52","10","D","2020-02-18"
"38","10","60","D","2020-02-23"
"39","60","10","D","2020-02-23"
"40","10","68","D","2020-02-28"
"41","68","10","D","2020-02-29"
"42","10","72","D","2020-03-03"
"43","72","10","D","2020-03-03"
"44","10","76","D","2020-03-06"
"45","76","10","D","2020-03-06"
"46","10","70","D","2020-03-09"
"47","70","10","D","2020-03-09"
"48","10","10","E","2020-01-14"
"49","10","47","E","2020-02-11"
"50","47","10","E","2020-02-12"
"51","10","50","E","2020-02-15"
"52","50","10","E","2020-02-15"
"53","10","53","E","2020-02-17"
"54","53","10","E","2020-02-18"
"55","10","54","E","2020-02-19"
"56","54","10","E","2020-02-20"
"57","10","56","E","2020-02-21"
"58","56","10","E","2020-02-21"
"59","10","70","E","2020-02-28"
"60","70","10","E","2020-02-29"
"61","10","75","E","2020-03-03"
"62","75","10","E","2020-03-04"
"63","10","77","E","2020-03-06"
"64","77","10","E","2020-03-06"
