"","from","to","ind","date"
"1",10,10,"A","2020-01-16"
"2",10,57,"A","2020-02-21"
"3",57,10,"A","2020-02-22"
"4",10,81,"A","2020-03-08"
"5",81,10,"A","2020-03-09"
"6",10,89,"A","2020-03-19"
"7",89,90,"A","2020-03-19"
"8",90,10,"A","2020-03-20"
"9",10,100,"A","2020-03-29"
"10",100,10,"A","2020-03-30"
"11",10,103,"A","2020-04-01"
"12",103,107,"A","2020-04-01"
"13",107,113,"A","2020-04-02"
"14",113,104,"A","2020-04-03"
"15",104,116,"A","2020-04-04"
"16",116,120,"A","2020-04-04"
"17",120,104,"A","2020-04-05"
"18",104,122,"A","2020-04-06"
"19",122,104,"A","2020-04-06"
"20",104,104,"A","2020-04-07"
"21",104,113,"A","2020-04-08"
"22",113,137,"A","2020-04-09"
"23",137,113,"A","2020-04-10"
"24",113,122,"A","2020-04-13"
"25",104,120,"A","2020-04-16"
"26",120,113,"A","2020-04-16"
"27",113,120,"A","2020-04-17"
"28",113,141,"A","2020-04-20"
"29",141,103,"A","2020-04-20"
"30",103,153,"A","2020-04-21"
"31",153,128,"A","2020-04-21"
"32",128,103,"A","2020-04-22"
"33",103,103,"A","2020-04-23"
"34",103,141,"A","2020-04-25"
"35",141,113,"A","2020-04-25"
"36",122,113,"A","2020-04-26"
"37",104,157,"A","2020-04-30"
"38",157,113,"A","2020-04-30"
"39",120,153,"A","2020-05-02"
"40",153,104,"A","2020-05-02"
"41",104,153,"A","2020-05-03"
"42",153,116,"A","2020-05-03"
"43",116,122,"A","2020-05-04"
"44",153,120,"A","2020-05-07"
"45",120,159,"A","2020-05-08"
"46",159,104,"A","2020-05-08"
"47",10,10,"B","2020-01-14"
"48",10,62,"B","2020-02-24"
"49",62,10,"B","2020-02-24"
"50",10,66,"B","2020-02-28"
"51",66,10,"B","2020-02-28"
"52",10,74,"B","2020-03-04"
"53",74,10,"B","2020-03-04"
"54",10,99,"B","2020-03-29"
"55",99,10,"B","2020-03-29"
"56",10,112,"B","2020-04-02"
"57",112,10,"B","2020-04-03"
"58",10,128,"B","2020-04-07"
"59",128,131,"B","2020-04-08"
"60",131,131,"B","2020-04-09"
"61",131,138,"B","2020-04-10"
"62",138,138,"B","2020-04-10"
"63",138,141,"B","2020-04-11"
"64",141,145,"B","2020-04-11"
"65",145,148,"B","2020-04-12"
"66",148,150,"B","2020-04-13"
"67",150,151,"B","2020-04-15"
"68",151,114,"B","2020-04-15"
"69",114,120,"B","2020-04-16"
"70",120,120,"B","2020-04-16"
"71",120,122,"B","2020-04-17"
"72",122,114,"B","2020-04-17"
"73",114,152,"B","2020-04-18"
"74",152,85,"B","2020-04-18"
"75",85,131,"B","2020-04-19"
"76",131,152,"B","2020-04-20"
"77",152,154,"B","2020-04-21"
"78",154,10,"B","2020-04-21"
"79",10,120,"B","2020-04-24"
"80",120,152,"B","2020-04-25"
"81",152,155,"B","2020-04-26"
"82",155,110,"B","2020-04-26"
"83",110,156,"B","2020-04-27"
"84",156,153,"B","2020-04-27"
"85",153,155,"B","2020-04-28"
"86",155,105,"B","2020-04-28"
"87",105,153,"B","2020-04-29"
"88",153,120,"B","2020-04-29"
"89",120,103,"B","2020-04-30"
"90",103,103,"B","2020-05-01"
"91",103,113,"B","2020-05-02"
"92",113,153,"B","2020-05-03"
"93",153,113,"B","2020-05-03"
"94",153,153,"B","2020-05-04"
"95",153,158,"B","2020-05-05"
"96",158,104,"B","2020-05-05"
"97",104,153,"B","2020-05-06"
"98",153,104,"B","2020-05-06"
"99",104,113,"B","2020-05-09"
"100",113,116,"B","2020-05-10"
"101",116,116,"B","2020-05-10"
"102",116,120,"B","2020-05-12"
"103",120,160,"B","2020-05-17"
"104",160,120,"B","2020-05-17"
"105",120,161,"B","2020-05-19"
"106",161,122,"B","2020-05-19"
"107",122,141,"B","2020-05-20"
"108",141,105,"B","2020-05-20"
"109",105,120,"B","2020-05-21"
"110",120,162,"B","2020-05-21"
"111",162,120,"B","2020-05-22"
"112",120,163,"B","2020-05-23"
"113",163,120,"B","2020-05-23"
"114",10,10,"C","2020-01-14"
"115",10,35,"C","2020-02-06"
"116",35,10,"C","2020-02-07"
"117",10,42,"C","2020-02-09"
"118",42,10,"C","2020-02-09"
