"","from","to","ind","date"
"1","10","10","A","2020-01-16"
"2","10","57","A","2020-02-21"
"3","57","10","A","2020-02-22"
"4","10","81","A","2020-03-08"
"5","81","10","A","2020-03-09"
"6","10","89","A","2020-03-19"
"7","89","90","A","2020-03-19"
"8","90","10","A","2020-03-20"
"9","10","100","A","2020-03-29"
"10","100","10","A","2020-03-30"
"11","10","103","A","2020-04-01"
"12","103","107","A","2020-04-01"
"13","107","113","A","2020-04-02"
"14","113","104","A","2020-04-03"
"15","104","116","A","2020-04-04"
"16","116","120","A","2020-04-04"
"17","120","104","A","2020-04-05"
"18","104","122","A","2020-04-06"
"19","122","104","A","2020-04-06"
"20","104","104","A","2020-04-07"
"21","104","113","A","2020-04-08"
"22","113","137","A","2020-04-09"
"23","137","113","A","2020-04-10"
"24","113","122","A","2020-04-13"
"25","104","120","A","2020-04-16"
"26","120","113","A","2020-04-16"
"27","113","120","A","2020-04-17"
"28","113","141","A","2020-04-20"
"29","141","103","A","2020-04-20"
"30","103","153","A","2020-04-21"
"31","153","128","A","2020-04-21"
"32","128","103","A","2020-04-22"
"33","103","103","A","2020-04-23"
"34","103","141","A","2020-04-25"
"35","141","113","A","2020-04-25"
"36","122","113","A","2020-04-26"
"37","104","157","A","2020-04-30"
"38","157","113","A","2020-04-30"
"39","120","153","A","2020-05-02"
"40","153","104","A","2020-05-02"
"41","104","153","A","2020-05-03"
"42","153","116","A","2020-05-03"
"43","116","122","A","2020-05-04"
"44","153","120","A","2020-05-07"
"45","120","159","A","2020-05-08"
"46","159","104","A","2020-05-08"
