"","from","to","ind","date"
"1","10","10","B","2020-01-14"
"2","10","62","B","2020-02-24"
"3","62","10","B","2020-02-24"
"4","10","66","B","2020-02-28"
"5","66","10","B","2020-02-28"
"6","10","74","B","2020-03-04"
"7","74","10","B","2020-03-04"
"8","10","99","B","2020-03-29"
"9","99","10","B","2020-03-29"
"10","10","112","B","2020-04-02"
"11","112","10","B","2020-04-03"
"12","10","128","B","2020-04-07"
"13","128","131","B","2020-04-08"
"14","131","131","B","2020-04-09"
"15","131","138","B","2020-04-10"
"16","138","138","B","2020-04-10"
"17","138","141","B","2020-04-11"
"18","141","145","B","2020-04-11"
"19","145","148","B","2020-04-12"
"20","148","150","B","2020-04-13"
"21","150","151","B","2020-04-15"
"22","151","114","B","2020-04-15"
"23","114","120","B","2020-04-16"
"24","120","120","B","2020-04-16"
"25","120","122","B","2020-04-17"
"26","122","114","B","2020-04-17"
"27","114","152","B","2020-04-18"
"28","152","85","B","2020-04-18"
"29","85","131","B","2020-04-19"
"30","131","152","B","2020-04-20"
"31","152","154","B","2020-04-21"
"32","154","10","B","2020-04-21"
"33","10","120","B","2020-04-24"
"34","120","152","B","2020-04-25"
"35","152","155","B","2020-04-26"
"36","155","110","B","2020-04-26"
"37","110","156","B","2020-04-27"
"38","156","153","B","2020-04-27"
"39","153","155","B","2020-04-28"
"40","155","105","B","2020-04-28"
"41","105","153","B","2020-04-29"
"42","153","120","B","2020-04-29"
"43","120","103","B","2020-04-30"
"44","103","103","B","2020-05-01"
"45","103","113","B","2020-05-02"
"46","113","153","B","2020-05-03"
"47","153","113","B","2020-05-03"
"48","153","153","B","2020-05-04"
"49","153","158","B","2020-05-05"
"50","158","104","B","2020-05-05"
"51","104","153","B","2020-05-06"
"52","153","104","B","2020-05-06"
"53","104","113","B","2020-05-09"
"54","113","116","B","2020-05-10"
"55","116","116","B","2020-05-10"
"56","116","120","B","2020-05-12"
"57","120","160","B","2020-05-17"
"58","160","120","B","2020-05-17"
"59","120","161","B","2020-05-19"
"60","161","122","B","2020-05-19"
"61","122","141","B","2020-05-20"
"62","141","105","B","2020-05-20"
"63","105","120","B","2020-05-21"
"64","120","162","B","2020-05-21"
"65","162","120","B","2020-05-22"
"66","120","163","B","2020-05-23"
"67","163","120","B","2020-05-23"
