"","from","to","ind","date"
"1","10","10","C","2020-01-14"
"2","10","35","C","2020-02-06"
"3","35","10","C","2020-02-07"
"4","10","42","C","2020-02-09"
"5","42","10","C","2020-02-09"
"6","10","51","C","2020-02-18"
"7","51","10","C","2020-02-18"
"8","10","61","C","2020-02-22"
"9","61","10","C","2020-02-23"
"10","10","70","C","2020-02-29"
"11","70","71","C","2020-02-29"
"12","71","10","C","2020-03-01"
"13","10","73","C","2020-03-02"
"14","73","10","C","2020-03-03"
"15","10","57","C","2020-03-09"
"16","57","10","C","2020-03-09"
"17","10","81","C","2020-03-10"
"18","81","10","C","2020-03-10"
"19","10","85","C","2020-03-13"
"20","85","87","C","2020-03-14"
"21","87","10","C","2020-03-15"
"22","10","91","C","2020-03-20"
"23","91","10","C","2020-03-22"
"24","10","106","C","2020-04-01"
"25","106","10","C","2020-04-02"
"26","10","114","C","2020-04-03"
"27","114","117","C","2020-04-03"
"28","117","118","C","2020-04-04"
"29","118","10","C","2020-04-04"
"30","10","97","C","2020-04-05"
"31","97","10","C","2020-04-05"
"32","10","129","C","2020-04-07"
"33","129","134","C","2020-04-08"
"34","134","136","C","2020-04-09"
"35","136","139","C","2020-04-10"
"36","139","139","C","2020-04-10"
"37","139","142","C","2020-04-11"
"38","142","146","C","2020-04-11"
"39","146","149","C","2020-04-12"
"40","149","149","C","2020-04-13"
