"","from","to","ind","date"
"1","10","10","D","2020-01-14"
"2","10","35","D","2020-02-07"
"3","35","10","D","2020-02-07"
"4","10","39","D","2020-02-08"
"5","39","10","D","2020-02-08"
"6","10","52","D","2020-02-18"
"7","52","10","D","2020-02-18"
"8","10","60","D","2020-02-23"
"9","60","10","D","2020-02-23"
"10","10","68","D","2020-02-28"
"11","68","10","D","2020-02-29"
"12","10","72","D","2020-03-03"
"13","72","10","D","2020-03-03"
"14","10","76","D","2020-03-06"
"15","76","10","D","2020-03-06"
"16","10","70","D","2020-03-09"
"17","70","10","D","2020-03-09"
"18","10","86","D","2020-03-14"
"19","86","10","D","2020-03-14"
"20","10","88","D","2020-03-18"
"21","88","10","D","2020-03-19"
"22","10","108","D","2020-04-01"
"23","108","100","D","2020-04-02"
"24","100","110","D","2020-04-03"
"25","110","10","D","2020-04-03"
"26","10","121","D","2020-04-04"
"27","121","10","D","2020-04-05"
"28","10","127","D","2020-04-07"
"29","127","135","D","2020-04-08"
"30","135","140","D","2020-04-09"
"31","140","143","D","2020-04-10"
"32","143","144","D","2020-04-11"
"33","144","147","D","2020-04-12"
"34","147","144","D","2020-04-12"
