"","from","to","ind","date"
"1","10","10","E","2020-01-14"
"2","10","47","E","2020-02-11"
"3","47","10","E","2020-02-12"
"4","10","50","E","2020-02-15"
"5","50","10","E","2020-02-15"
"6","10","53","E","2020-02-17"
"7","53","10","E","2020-02-18"
"8","10","54","E","2020-02-19"
"9","54","10","E","2020-02-20"
"10","10","56","E","2020-02-21"
"11","56","10","E","2020-02-21"
"12","10","70","E","2020-02-28"
"13","70","10","E","2020-02-29"
"14","10","75","E","2020-03-03"
"15","75","10","E","2020-03-04"
"16","10","77","E","2020-03-06"
"17","77","10","E","2020-03-06"
"18","10","88","E","2020-03-15"
"19","88","10","E","2020-03-17"
"20","10","93","E","2020-03-23"
"21","93","10","E","2020-03-23"
"22","10","94","E","2020-03-26"
"23","94","10","E","2020-03-26"
"24","10","95","E","2020-03-27"
"25","95","10","E","2020-03-27"
"26","10","97","E","2020-03-28"
"27","97","98","E","2020-03-28"
"28","98","98","E","2020-03-29"
"29","98","101","E","2020-03-31"
"30","101","102","E","2020-03-31"
"31","102","104","E","2020-04-01"
"32","104","105","E","2020-04-01"
"33","105","109","E","2020-04-02"
"34","109","111","E","2020-04-02"
"35","111","115","E","2020-04-03"
"36","115","111","E","2020-04-03"
"37","111","119","E","2020-04-04"
"38","119","119","E","2020-04-04"
"39","119","124","E","2020-04-06"
"40","124","125","E","2020-04-06"
"41","125","126","E","2020-04-07"
"42","126","126","E","2020-04-07"
"43","126","130","E","2020-04-08"
"44","130","132","E","2020-04-08"
"45","132","133","E","2020-04-09"
"46","133","10","E","2020-04-09"
"47","10","102","E","2020-04-10"
"48","102","103","E","2020-04-11"
"49","103","98","E","2020-04-11"
"50","98","113","E","2020-04-12"
"51","113","102","E","2020-04-12"
"52","102","113","E","2020-04-13"
"53","113","118","E","2020-04-13"
"54","118","164","E","2020-04-14"
"55","164","165","E","2020-09-06"
"56","165","166","E","2020-09-06"
"57","166","166","E","2020-09-07"
"58","166","167","E","2020-09-08"
"59","167","143","E","2020-09-08"
"60","143","164","E","2020-09-09"
"61","164","168","E","2020-09-10"
"62","168","169","E","2020-09-10"
"63","169","170","E","2020-09-11"
"64","170","164","E","2020-09-11"
"65","165","164","E","2020-09-13"
"66","164","166","E","2020-09-14"
"67","166","164","E","2020-09-14"
"68","164","171","E","2020-09-15"
"69","171","172","E","2020-09-16"
"70","172","10","E","2020-09-16"
"71","88","173","E","2020-09-22"
"72","173","10","E","2020-09-23"
"73","10","174","E","2020-09-25"
"74","174","10","E","2020-09-25"
"75","10","175","E","2020-09-26"
"76","175","10","E","2020-09-26"
"77","97","162","E","2020-09-29"
"78","162","10","E","2020-09-30"
"79","174","176","E","2020-10-06"
"80","176","177","E","2020-10-07"
"81","177","178","E","2020-10-08"
"82","178","179","E","2020-10-08"
"83","179","10","E","2020-10-10"
"84","10","169","E","2020-10-11"
"85","169","10","E","2020-10-11"
"86","77","77","E","2020-10-15"
"87","77","180","E","2020-10-16"
"88","180","68","E","2020-10-17"
"89","68","10","E","2020-10-18"
"90","10","100","E","2020-10-21"
"91","100","181","E","2020-10-21"
"92","181","10","E","2020-10-22"
"93","10","182","E","2020-10-27"
"94","182","10","E","2020-10-27"
"95","10","183","E","2020-11-22"
"96","183","10","E","2020-11-22"
"97","10","184","E","2020-11-24"
"98","184","10","E","2020-11-24"
