"","cluster","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",1,-64.6656,-54.8736,"both",1,107.89794696585,5,2
"2",2,-64.673065,-54.861866,"both",1,70.3989933585239,40,4
"3",3,-64.67627,-54.856533,"both",1,17.5017477191471,26,2
"4",4,-64.680534,-54.859734,"both",1,21.0145042350179,30,5
"5",5,-64.6688,-54.8736,"both",1,1.89643027650737,26,1
"6",6,-64.67947,-54.8608,"both",1,37.4401141962294,34,3
"7",7,-64.6592,-54.87253,"both",1,186.403852720459,33,1
"8",9,-64.66987,-54.85227,"both",1,292.603674969537,19,3
"9",10,-64.67413,-54.861866,"both",1,54.1789681757994,58,3
"10",11,-64.6816,-54.8608,"both",1,39.2051224232796,25,3
"11",12,-64.67733,-54.8576,"both",1,0.0726034828750366,12,2
"12",13,-64.67627,-54.8608,"both",1,86.8728657932399,7,3
"13",14,-64.6816,-54.859734,"both",1,55.9984188650191,24,3
"14",15,-64.6784,-54.856533,"both",1,121.069035763666,14,2
"15",16,-64.66026,-54.8736,"both",1,73.5817611382097,13,2
"16",18,-64.673065,-54.862934,"both",1,1.84855075933725,9,4
"17",19,-64.67733,-54.855465,"both",1,154.370300093044,7,3
"18",21,-64.6752,-54.862934,"both",1,20.7478309171573,14,3
"19",22,-64.67094,-54.871468,"both",1,146.835478546794,6,2
"20",23,-64.67094,-54.865067,"both",1,36.2924384651368,17,3
"21",24,-64.673065,-54.853333,"both",1,262.939005928729,6,1
"22",25,-64.67094,-54.8672,"both",1,21.0774256553349,13,3
"23",26,-64.680534,-54.858665,"both",1,46.9879661166844,11,3
"24",28,-64.67627,-54.861866,"both",1,8.11441890525213,24,2
"25",29,-64.67947,-54.862934,"both",1,1.05464608863886,2,2
"26",31,-64.673065,-54.8672,"both",1,68.8241993309245,9,2
"27",32,-64.6752,-54.866135,"both",1,140.634432980177,37,4
"28",33,-64.673065,-54.855465,"both",1,30.5312344829691,10,3
"29",34,-64.65387,-54.87467,"both",1,44.1215317099679,2,2
"30",35,-64.658134,-54.85227,"both",0,691.245250140773,2,2
"31",36,-64.67094,-54.85227,"both",1,283.448949800735,15,2
"32",37,-64.658134,-54.875732,"both",1,24.757600317679,7,4
"33",38,-64.66987,-54.864,"both",1,111.807028923392,11,3
"34",40,-64.65493,-54.878933,"both",1,62.1458835512454,2,1
"35",43,-64.6816,-54.856533,"both",1,254.283464280792,2,2
"36",44,-64.658134,-54.877865,"both",1,148.39271638083,4,2
"37",46,-64.6688,-54.8544,"both",1,158.525245672516,11,4
"38",48,-64.673065,-54.856533,"both",1,5.46997265332553,7,2
"39",49,-64.65387,-54.88,"both",1,40.0569811182892,3,2
"40",55,-64.664536,-54.87467,"both",1,141.705309310872,2,2
"41",57,-64.65387,-54.8928,"both",0,1044.47658180737,2,2
"42",58,-64.66133,-54.87467,"both",1,73.3637417146898,3,2
"43",63,-64.6496,-54.88,"both",1,11.1180964611256,2,2
"44",68,-64.666664,-54.85227,"both",0,380.081043225559,3,2
"45",70,-64.69227,-54.8064,"both",0,5003.2876666238,3,3
"46",79,-64.66987,-54.8512,"both",1,178.887550138432,2,1
"47",80,-64.673065,-54.87253,"both",1,133.660474186718,3,2
"48",81,-64.69973,-54.80213,"both",0,5600.3920842449,3,2
"49",83,-64.67627,-54.858665,"both",1,36.4711293052809,3,2
"50",85,-64.69334,-54.78507,"both",0,7329.80596426969,2,2
"51",88,-64.66347,-54.853333,"both",1,351.515878352226,5,2
"52",97,-64.72747,-54.8544,"both",0,3038.21051405744,3,2
"53",98,-64.733864,-54.858665,"both",0,3350.12278515188,5,1
"54",100,-64.544,-54.725334,"both",0,16066.2783743408,3,3
"55",103,-64.73067,-54.80747,"both",0,6055.28149959817,8,3
"56",104,-64.7328,-54.8064,"both",0,6234.12945962378,24,3
"57",105,-64.72853,-54.80747,"both",0,5969.47528955154,3,2
"58",110,-64.71467,-54.797867,"both",0,6407.22725620016,2,2
"59",113,-64.73493,-54.8064,"both",0,6321.89672757756,18,3
"60",114,-64.67413,-54.798935,"both",0,5649.93683077138,3,2
"61",116,-64.73067,-54.805332,"both",0,6241.74278103214,6,2
"62",118,-64.5248,-54.770134,"both",0,12906.6841561878,2,2
"63",119,-64.24747,-54.727467,"both",0,30439.3539268909,2,1
"64",120,-64.72747,-54.8064,"both",0,6022.53208188568,19,2
"65",122,-64.724266,-54.805332,"both",0,5998.68521264055,6,2
"66",126,-64.24427,-54.7264,"both",0,30676.8395224891,2,1
"67",128,-64.70613,-54.794666,"both",0,6521.03185501043,2,2
"68",131,-64.71467,-54.8,"both",0,6194.41725849009,5,1
"69",138,-64.72107,-54.8,"both",0,6390.39951602914,2,1
"70",139,-63.81333,-54.754135,"both",0,55257.0432017605,2,1
"71",141,-64.724266,-54.8032,"both",0,6195.42642483572,4,2
"72",143,-64.26133,-54.674133,"both",0,32808.6619510227,2,2
"73",149,-63.808,-54.718933,"both",0,56733.5903752792,2,1
"74",153,-64.725334,-54.805332,"both",0,6037.95171139138,14,2
"75",162,-64.709335,-54.795734,"both",0,6484.54579555552,2,2
"76",164,-64.2464,-54.7456,"both",0,29650.4433771159,5,1
"77",166,-64.25813,-54.673065,"both",0,33045.15886056,4,1
