"","site","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",10,-64.67413,-54.861866,"16:00:00",1,54.1789681757994,371,5
"2",35,-64.65707,-54.85227,"16:00:00",0,749.271363341148,2,2
"3",39,-64.66133,-54.85227,"16:00:00",0,531.85991339582,1,1
"4",42,-64.6272,-54.8576,"16:00:00",0,2363.78534800298,1,1
"5",47,-64.650665,-54.896,"16:00:00",0,1349.03333903369,1,1
"6",50,-64.65387,-54.84693,"16:00:00",0,1135.88883525767,1,1
"7",51,-64.664536,-54.8704,"16:00:00",0,404.669102712639,1,1
"8",52,-64.73067,-54.845867,"16:00:00",0,3538.93728029758,1,1
"9",53,-64.66987,-54.842667,"16:00:00",0,782.385321121845,1,1
"10",54,-64.6432,-54.910934,"16:00:00",0,3022.7154681956,1,1
"11",56,-64.65707,-54.84693,"16:00:00",0,939.70722782182,2,1
"12",57,-64.65387,-54.8928,"16:00:00",0,1044.47658180737,2,2
"13",60,-64.69013,-54.8448,"16:00:00",0,1331.35486526093,1,1
"14",61,-64.73814,-54.82453,"16:00:00",0,5130.61726229153,1,1
"15",62,-64.73493,-54.8544,"16:00:00",0,3501.00977436484,1,1
"16",66,-64.6496,-54.8928,"16:00:00",0,988.198856132278,1,1
"17",68,-64.666664,-54.85227,"16:00:00",0,380.081043225559,1,1
"18",70,-64.69227,-54.8064,"16:00:00",0,5003.2876666238,3,3
"19",72,-64.6688,-54.845867,"16:00:00",0,445.115774878211,2,1
"20",73,-64.65493,-54.781868,"16:00:00",0,7615.63916344709,1,1
"21",74,-64.6368,-54.903465,"16:00:00",0,2297.91763658145,1,1
"22",75,-64.62614,-54.842667,"16:00:00",0,2978.86055697863,1,1
"23",76,-64.65707,-54.821335,"16:00:00",0,3277.03331430611,1,1
"24",77,-64.70506,-54.7968,"16:00:00",0,6274.38468830995,5,1
"25",81,-64.69973,-54.80213,"16:00:00",0,5600.3920842449,2,2
"26",85,-64.69227,-54.786133,"16:00:00",0,7200.51888533282,2,2
