"","site","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",10,-64.67413,-54.861866,"both",1,54.1789681757994,38,3
"2",56,-64.656,-54.84693,"day",0,1004.8912564025,1,1
"3",68,-64.666664,-54.85227,"day",0,380.081043225559,1,1
"4",77,-64.70613,-54.7968,"day",0,6298.55651591666,4,1
"5",81,-64.7008,-54.8032,"night",0,5511.34460571234,1,1
"6",85,-64.69227,-54.786133,"both",0,7200.51888533282,2,2
"7",86,-64.3456,-54.727467,"day",0,24953.6763472081,1,1
"8",87,-64.66347,-54.850132,"night",0,479.476429630728,1,1
"9",88,-64.664536,-54.85227,"both",0,414.230192553969,5,2
"10",89,-63.922134,-54.794666,"day",0,47390.7208964977,1,1
"11",90,-64.1824,-54.746666,"day",0,33249.852034476,1,1
"12",91,-64.69867,-54.804268,"day",0,5353.26586203118,1,1
"13",93,-64.69013,-54.7872,"day",0,7058.87290068258,1,1
"14",94,-64.6592,-54.784,"day",0,7347.34251730434,1,1
"15",95,-64.51307,-54.7968,"night",0,11726.1459751111,1,1
"16",97,-64.7264,-54.8544,"both",0,2972.2501137224,3,2
"17",98,-64.733864,-54.858665,"both",0,3350.12278515188,5,1
"18",99,-64.58453,-54.8352,"day",0,5773.77981872811,1,1
"19",100,-64.544,-54.725334,"both",0,16066.2783743408,3,3
"20",101,-64.736,-54.856533,"day",0,3519.33580446051,1,1
"21",102,-64.736,-54.858665,"night",0,3486.46942329346,3,1
"22",103,-64.73067,-54.80747,"both",0,6055.28149959817,8,3
"23",104,-64.731735,-54.8064,"both",0,6190.91310401939,24,3
"24",105,-64.7296,-54.80747,"both",0,6012.13873836307,3,2
"25",106,-64.6752,-54.8704,"day",0,378.875498646952,1,1
"26",107,-64.746666,-54.8544,"day",0,4236.36022683494,1,1
"27",108,-64.74987,-54.834133,"day",0,5253.13995007832,1,1
"28",109,-64.4288,-54.7584,"day",0,18586.4708076698,1,1
"29",110,-64.71253,-54.797867,"both",0,6348.48537384935,2,2
"30",111,-64.25066,-54.727467,"night",0,30255.969449146,2,1
"31",112,-64.72,-54.849068,"day",0,2767.3190197853,1,1
"32",113,-64.73493,-54.8064,"both",0,6321.89672757756,18,3
"33",114,-64.672,-54.8,"both",0,5528.13890433126,3,2
"34",115,-64.28053,-54.7296,"day",0,28440.2962183108,1,1
"35",116,-64.73067,-54.805332,"both",0,6241.74278103214,6,2
"36",117,-64.5088,-54.795734,"night",0,12023.1696141582,1,1
"37",118,-64.5248,-54.770134,"both",0,12906.6841561878,2,2
"38",119,-64.24747,-54.727467,"both",0,30439.3539268909,2,1
"39",120,-64.72747,-54.8064,"both",0,6022.53208188568,19,2
"40",121,-64.60907,-54.907734,"day",0,3648.03160129958,1,1
"41",122,-64.724266,-54.805332,"both",0,5998.68521264055,6,2
"42",124,-64.24747,-54.724266,"day",0,30601.1525123073,1,1
"43",125,-64.28267,-54.731735,"night",0,28206.9596894376,1,1
"44",126,-64.24427,-54.7264,"both",0,30676.8395224891,2,1
"45",127,-64.57387,-54.814934,"day",0,7336.14573451339,1,1
"46",128,-64.70827,-54.794666,"both",0,6569.63414935959,2,2
"47",129,-64.2304,-54.756268,"day",0,30008.7616226198,1,1
"48",130,-64.26987,-54.682667,"day",0,31802.4185237478,1,1
"49",131,-64.71467,-54.8,"both",0,6194.41725849009,5,1
"50",132,-64.27627,-54.730667,"night",0,28626.9695195625,1,1
"51",133,-64.27306,-54.791466,"day",0,25868.8458297413,1,1
"52",134,-64.2624,-54.734932,"day",0,29208.7047626203,1,1
"53",135,-64.234665,-54.701866,"day",0,32529.9784033869,1,1
"54",136,-64.13333,-54.7712,"night",0,35053.9781715172,1,1
"55",137,-64.7328,-54.813866,"day",0,5616.7082349472,1,1
"56",138,-64.72107,-54.8,"both",0,6390.39951602914,2,1
"57",139,-63.81333,-54.754135,"both",0,55257.0432017605,2,1
"58",140,-64.263466,-54.676266,"day",0,32556.5144429677,1,1
"59",141,-64.72213,-54.80213,"both",0,6221.95169603192,4,2
"60",142,-63.800533,-54.7264,"day",0,56927.1607032186,1,1
"61",143,-64.26133,-54.674133,"both",0,32808.6619510227,2,2
"62",144,-64.24,-54.702934,"night",0,32173.5646630003,2,1
"63",145,-64.68587,-54.805332,"day",0,5024.56676141782,1,1
"64",146,-63.808,-54.753067,"day",0,55619.2448548158,1,1
"65",147,-64.2432,-54.702934,"day",0,31996.3811991495,1,1
"66",148,-64.717865,-54.8,"day",0,6289.65844571313,1,1
"67",149,-63.808,-54.718933,"both",0,56733.5903752792,2,1
"68",150,-64.6752,-54.801067,"night",0,5415.68073886388,1,1
"69",151,-64.64854,-54.776535,"day",0,8265.71570980216,1,1
"70",152,-64.72107,-54.804268,"night",0,5984.08712967494,3,1
