"","site","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",7,-64.6592,-54.87253,"both",1,186.403852720459,33,1
"2",35,-64.65707,-54.85227,"both",0,749.271363341148,2,2
"3",39,-64.66133,-54.85227,"day",0,531.85991339582,1,1
"4",42,-64.6272,-54.8576,"day",0,2363.78534800298,1,1
"5",47,-64.650665,-54.896,"day",0,1349.03333903369,1,1
"6",50,-64.65387,-54.84693,"day",0,1135.88883525767,1,1
"7",51,-64.664536,-54.8704,"day",0,404.669102712639,1,1
"8",52,-64.73067,-54.845867,"day",0,3538.93728029758,1,1
"9",53,-64.66987,-54.842667,"day",0,782.385321121845,1,1
"10",54,-64.6432,-54.910934,"day",0,3022.7154681956,1,1
"11",56,-64.65707,-54.84693,"day",0,939.70722782182,1,1
"12",57,-64.65387,-54.8928,"both",0,1044.47658180737,2,2
"13",60,-64.69013,-54.8448,"day",0,1331.35486526093,1,1
"14",61,-64.73814,-54.82453,"day",0,5130.61726229153,1,1
"15",62,-64.73493,-54.8544,"day",0,3501.00977436484,1,1
"16",66,-64.6496,-54.8928,"day",0,988.198856132278,1,1
"17",68,-64.666664,-54.85227,"night",0,380.081043225559,2,1
"18",70,-64.69227,-54.8064,"both",0,5003.2876666238,3,3
"19",71,-64.72747,-54.817066,"night",0,5122.62192283551,1,1
"20",72,-64.6688,-54.845867,"day",0,445.115774878211,2,1
"21",73,-64.65493,-54.781868,"day",0,7615.63916344709,1,1
"22",74,-64.6368,-54.903465,"day",0,2297.91763658145,1,1
"23",75,-64.62614,-54.842667,"day",0,2978.86055697863,1,1
"24",76,-64.65707,-54.821335,"day",0,3277.03331430611,1,1
"25",77,-64.70506,-54.7968,"day",0,6274.38468830995,1,1
"26",81,-64.69973,-54.80213,"both",0,5600.3920842449,2,2
