"","ind","site","lon","lat","time","colonia","dist.col","frequency"
"1","A",1,-64.664536,-54.87253,"day",1,230.879318311119,1
"2","A",2,-64.673065,-54.861866,"day",1,70.3989933585239,1
"3","A",3,-64.6752,-54.856533,"day",1,5.63551795395603,2
"4","A",4,-64.67947,-54.859734,"day",1,22.2892074602402,1
"5","A",7,-64.6592,-54.87253,"both",1,186.403852720459,33
"6","A",10,-64.67413,-54.861866,"day",1,54.1789681757994,1
"7","A",14,-64.68266,-54.859734,"night",1,119.974487581847,1
"8","A",16,-64.66026,-54.8736,"both",1,73.5817611382097,12
"9","A",18,-64.673065,-54.864,"night",1,2.28913631792007,1
"10","A",23,-64.67094,-54.864,"both",1,59.7371502212687,10
"11","A",25,-64.67094,-54.866135,"both",1,26.9074860925813,4
"12","A",31,-64.673065,-54.868267,"day",1,128.524968140033,1
"13","A",32,-64.673065,-54.865067,"both",1,116.243825012706,14
"14","A",34,-64.65387,-54.87467,"day",1,44.1215317099679,1
"15","A",37,-64.658134,-54.875732,"day",1,24.757600317679,2
"16","A",38,-64.6688,-54.864,"both",1,141.152422703842,8
"17","A",43,-64.6816,-54.8576,"day",1,167.795900352163,1
"18","A",44,-64.658134,-54.877865,"day",1,148.39271638083,1
"19","A",46,-64.66987,-54.855465,"day",1,77.2260153545012,1
"20","A",49,-64.65387,-54.88,"day",1,40.0569811182892,1
"21","A",55,-64.66347,-54.87467,"day",1,96.6973421466242,1
"22","A",57,-64.65387,-54.8928,"day",0,1044.47658180737,1
"23","A",58,-64.66133,-54.87467,"day",1,73.3637417146898,1
"24","A",63,-64.6496,-54.88,"day",1,11.1180964611256,1
"25","A",67,-64.64854,-54.882133,"day",1,41.3647707691213,1
"26","A",78,-64.666664,-54.868267,"day",1,298.693685727812,1
"27","A",81,-64.69973,-54.80213,"day",0,5600.3920842449,1
"28","A",89,-63.922134,-54.794666,"day",0,47390.7208964977,1
"29","A",90,-64.1824,-54.746666,"day",0,33249.852034476,1
"30","A",100,-64.544,-54.725334,"day",0,16066.2783743408,1
"31","A",103,-64.73067,-54.80747,"day",0,6055.28149959817,5
"32","A",104,-64.731735,-54.8064,"both",0,6190.91310401939,20
"33","A",107,-64.746666,-54.8544,"day",0,4236.36022683494,1
"34","A",113,-64.73493,-54.8064,"both",0,6321.89672757756,12
"35","A",116,-64.73067,-54.805332,"both",0,6241.74278103214,2
"36","A",120,-64.72747,-54.8064,"both",0,6022.53208188568,8
"37","A",122,-64.724266,-54.805332,"night",0,5998.68521264055,4
"38","A",128,-64.70827,-54.794666,"day",0,6569.63414935959,1
"39","A",137,-64.7328,-54.813866,"day",0,5616.7082349472,1
"40","A",141,-64.72213,-54.80213,"night",0,6221.95169603192,2
"41","A",153,-64.725334,-54.805332,"night",0,6037.95171139138,6
"42","A",157,-64.72747,-54.8032,"night",0,6311.06511664077,1
"43","A",159,-64.7424,-54.80213,"day",0,6995.23034170817,1
