"","ind","site","lon","lat","time","colonia","dist.col","frequency"
"1","B",2,-64.673065,-54.861866,"both",1,70.3989933585239,34
"2","B",4,-64.680534,-54.859734,"day",1,21.0145042350179,3
"3","B",6,-64.67947,-54.861866,"both",1,6.36743167842134,3
"4","B",8,-64.67413,-54.859734,"day",1,162.868887564274,7
"5","B",9,-64.66987,-54.85227,"day",1,292.603674969537,1
"6","B",10,-64.67413,-54.861866,"both",1,54.1789681757994,35
"7","B",11,-64.6816,-54.8608,"day",1,39.2051224232796,2
"8","B",13,-64.67627,-54.8608,"both",1,86.8728657932399,2
"9","B",14,-64.68266,-54.859734,"day",1,119.974487581847,3
"10","B",16,-64.6592,-54.8736,"day",1,71.7511793980362,1
"11","B",18,-64.673065,-54.862934,"both",1,1.84855075933725,5
"12","B",19,-64.67627,-54.8544,"day",1,204.469445127377,1
"13","B",21,-64.6752,-54.862934,"day",1,20.7478309171573,11
"14","B",23,-64.67094,-54.864,"day",1,59.7371502212687,2
"15","B",26,-64.680534,-54.8576,"day",1,117.71712145324,4
"16","B",28,-64.67627,-54.861866,"both",1,8.11441890525213,19
"17","B",29,-64.67947,-54.862934,"day",1,1.05464608863886,1
"18","B",32,-64.67413,-54.865067,"day",1,127.714101233182,2
"19","B",33,-64.67413,-54.855465,"day",1,50.8821120614245,1
"20","B",46,-64.67094,-54.8544,"day",1,200.195602230479,2
"21","B",48,-64.673065,-54.856533,"day",1,5.46997265332553,2
"22","B",49,-64.656,-54.88,"both",1,16.8301941802587,2
"23","B",62,-64.73493,-54.8544,"day",0,3501.00977436484,1
"24","B",63,-64.6496,-54.88,"night",1,11.1180964611256,1
"25","B",66,-64.6496,-54.8928,"day",0,988.198856132278,1
"26","B",74,-64.6368,-54.903465,"day",0,2297.91763658145,1
"27","B",80,-64.673065,-54.87253,"day",1,133.660474186718,1
"28","B",82,-64.6624,-54.8576,"day",1,265.723048533713,1
"29","B",83,-64.67627,-54.858665,"day",1,36.4711293052809,2
"30","B",85,-64.69227,-54.786133,"day",0,7200.51888533282,1
"31","B",92,-64.66987,-54.859734,"day",1,149.367108788728,1
"32","B",99,-64.58453,-54.8352,"day",0,5773.77981872811,1
"33","B",103,-64.731735,-54.80747,"day",0,6098.69003518306,2
"34","B",104,-64.733864,-54.8064,"day",0,6277.75263329833,3
"35","B",105,-64.7296,-54.80747,"day",0,6012.13873836307,2
"36","B",110,-64.71253,-54.797867,"night",0,6348.48537384935,1
"37","B",112,-64.72,-54.849068,"day",0,2767.3190197853,1
"38","B",113,-64.733864,-54.80747,"day",0,6186.8209716769,4
"39","B",114,-64.672,-54.8,"both",0,5528.13890433126,2
"40","B",116,-64.73067,-54.805332,"both",0,6241.74278103214,4
"41","B",120,-64.7296,-54.8064,"both",0,6105.66700561789,11
"42","B",122,-64.7232,-54.804268,"night",0,6058.47053824187,2
"43","B",128,-64.70613,-54.794666,"day",0,6521.03185501043,1
"44","B",131,-64.71467,-54.8,"both",0,6194.41725849009,5
"45","B",138,-64.72107,-54.8,"both",0,6390.39951602914,2
"46","B",141,-64.724266,-54.8032,"day",0,6195.42642483572,2
"47","B",145,-64.68587,-54.805332,"day",0,5024.56676141782,1
"48","B",148,-64.717865,-54.8,"day",0,6289.65844571313,1
"49","B",150,-64.6752,-54.801067,"night",0,5415.68073886388,1
"50","B",151,-64.64854,-54.776535,"day",0,8265.71570980216,1
"51","B",152,-64.72107,-54.804268,"night",0,5984.08712967494,3
"52","B",153,-64.725334,-54.805332,"night",0,6037.95171139138,8
"53","B",154,-64.701866,-54.7968,"day",0,6206.20107857777,1
"54","B",155,-64.70827,-54.8,"day",0,6020.18616618338,2
"55","B",156,-64.724266,-54.8064,"day",0,5901.25129233086,1
"56","B",158,-64.70506,-54.8,"day",0,5941.59983578817,1
"57","B",160,-64.695465,-54.8064,"day",0,5062.68619604186,1
"58","B",161,-64.72853,-54.8128,"day",0,5514.6697375983,1
"59","B",162,-64.709335,-54.795734,"day",0,6484.54579555552,1
"60","B",163,-64.709335,-54.792534,"day",0,6815.63526969716,1
