"","cluster","lon","lat","time","colonia","dist.col","frequency","no.ind"
"1",17,-64.66773,-54.87467,"night",1,13.3917908745856,1,1
"2",71,-64.72747,-54.817066,"night",0,5122.62192283551,1,1
"3",84,-64.666664,-54.8512,"night",1,319.129498945065,3,1
"4",87,-64.66347,-54.850132,"night",0,479.476429630728,1,1
"5",95,-64.51307,-54.7968,"night",0,11726.1459751111,1,1
"6",102,-64.736,-54.858665,"night",0,3486.46942329346,3,1
"7",111,-64.25066,-54.727467,"night",0,30255.969449146,2,1
"8",117,-64.5088,-54.795734,"night",0,12023.1696141582,1,1
"9",125,-64.28267,-54.731735,"night",0,28206.9596894376,1,1
"10",132,-64.27627,-54.730667,"night",0,28626.9695195625,1,1
"11",136,-64.13333,-54.7712,"night",0,35053.9781715172,1,1
"12",144,-64.24,-54.702934,"night",0,32173.5646630003,2,1
"13",150,-64.6752,-54.801067,"night",0,5415.68073886388,1,1
"14",152,-64.72107,-54.804268,"night",0,5984.08712967494,3,1
"15",157,-64.72747,-54.8032,"night",0,6311.06511664077,1,1
"16",169,-64.2176,-54.853333,"night",0,27578.5852048764,2,1
"17",171,-64.512,-54.792534,"night",0,12030.2720509374,1,1
"18",175,-64.5184,-54.776535,"night",0,12741.927190553,1,1
"19",177,-64.25066,-54.7456,"night",0,29398.5125558626,1,1
